UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment
44062,89014,"Washington, DC",13/04/2020,???What's happening livestock futures prices for #hogs #cattle and #dairy due to #COVID19 is like catching a falling knife @FarmBureau https://t.co/jHr9L2Fn9I https://t.co/9GXXMWjALq,Positive
44734,89686,"Tallahassee, FL. ",14/04/2020,"Despite the current economic slowdown caused by Covid-19, the real estate market remains a strong point of our economy. People are still buying homes, housing inventory is still low, and prices are still holding strong. #RealEstateNews #TallahasseeRealtor

https://t.co/3WtiVac3U0",Positive
31094,76046,Kinross,03/04/2020,The has forced the 44 year old staff member into an induced coma in intensive care for five days,Positive
19512,64464,United Kingdom,22/03/2020,Covid-19 is causing difficulties across the entire downstream oil industry. #Heating oil prices are at 6-7 year lows &amp; are part fuelled by panic buying due to people staying at home. Demand is putting really significant pressures on all delivery times to around 15 working days. https://t.co/HDGkWDemu4,Negative
9308,54260,,19/03/2020,Incomprehensible In a Lidl supermarket in a customer rioted there by spraying the entire supermarket with a fire extinguisher including many foods that are no longer salable,Negative
22021,66973,New York,23/03/2020,19 Get protected face masks on stock in   regular prices,Positive
30686,75638,"Doha, Qatar",02/04/2020,"The supermarkets of Al Meera Consumer Goods Co. have started poly bagging commodities such as vegetables and fruits to provide an extra layer of protection from contamination by touch. #qatar #qatarnews #YourSafetyIsMySafety #doha #coronavirus 
https://t.co/Yx0v2hexuS https://t.co/jJ4lqQeDeH",Neutral
23034,67986,,24/03/2020,@susmitchellSBP Bring in Michael O'Leary to help finalise deal so that hospitals could be acquired at knock down prices by State. Role of private hospitals &amp; health insurance bed-fellow should be very different after #coronavirus. Gov could use this t,Positive
19564,64516,"visited 27  country, lived in5",22/03/2020,"The up side of a bad situation:

1) Price War between #Russia &amp; #Saudis [If only Murderer Salman got #coronavirus
You'd know G-d was REAL]

2) #COVID?19 #COVID19 

3) Sitting inside so, no driving &amp; Gas use down, prices down

PS, Satellites show Manmade pollution way way down ! https://t.co/PDL9fDi194",Negative
27601,72553,"Sydney, New South Wales",26/03/2020,Oh this is so great also how does anyone talk that fast https://t.co/lWxUThEurM,Positive
39767,84719,,09/04/2020,Model suggests how airborne coronavirus particles spread in grocery store aisles gt gt Why I hope online shopping returns for mainstream shoppers in AU again,Positive
13222,58174,Planet Earth,20/03/2020,THANK YOUR LOCAL GROCERY STORE WORKERS on the frontlines Their just announced a temporary 2 hour PAY RAISE from grocers for the employees  dedication and hard work  ,Positive
